"ts_code","symbol","name","area","industry","fullname","market","list_date"
"601665.SH",601665,齐鲁银行,山东,银行,齐鲁银行股份有限公司,主板,20210618
"601666.SH",601666,平煤股份,河南,煤炭开采,平顶山天安煤业股份有限公司,主板,20061123
"601668.SH",601668,中国建筑,北京,建筑工程,中国建筑股份有限公司,主板,20090729
"601669.SH",601669,中国电建,北京,建筑工程,中国电力建设股份有限公司,主板,20111018
"601677.SH",601677,明泰铝业,河南,铝,河南明泰铝业股份有限公司,主板,20110919
"601678.SH",601678,滨化股份,山东,化工原料,滨化集团股份有限公司,主板,20100223
"601686.SH",601686,友发集团,天津,钢加工,天津友发钢管集团股份有限公司,主板,20201204
"601688.SH",601688,华泰证券,江苏,证券,华泰证券股份有限公司,主板,20100226
"601689.SH",601689,拓普集团,浙江,汽车配件,宁波拓普集团股份有限公司,主板,20150319
"601696.SH",601696,中银证券,上海,证券,中银国际证券股份有限公司,主板,20200226
